Hypernym_Id,Hypernym
1,baseball
2,tray
3,region
4,smoking
5,program
6,opinion
7,violation
8,plaza
9,boot
10,agency
11,boutique
12,change
13,couple
14,nelson
15,source
16,video
17,complex
18,mortgage
19,barnacle
20,artist
21,wear
22,sex
23,image
24,hydrolysis
25,director
26,apparatus
27,early
28,event
29,schoolhouse
30,residence
31,withdrawal
32,book
33,compound
34,assembly
35,dow
36,area
37,section
38,war
39,hazard
40,compilation
41,type
42,cave
43,cotton
44,oats
45,rainfall
46,human
47,work
48,him
49,technical
50,week
51,service
52,demand
53,caricaturist
54,cartel
55,here
56,example
57,disease
58,bike
59,schedule
60,estate
61,ability
62,advantage
63,oils
64,shot
65,state
66,treat
67,life
68,improvement
69,user
70,act
71,one
72,piping
73,com
74,shape
75,development
76,second
77,revue
78,math
79,garden
80,company
81,culm
82,feature
83,chairman
84,story
85,fig
86,absorber
87,surgery
88,accessories
89,laboratory
90,moment
91,confusion
92,cloud
93,base
94,crossbowman
95,stoker
96,menopause
97,armrest
98,john
99,time
100,availability
101,bolo
102,cover
103,increase
104,food
105,city
106,slide
107,wind
108,page
109,spring
110,award
111,records
112,warp
113,name
114,buggy
115,brow
116,bates
117,sensor
118,position
119,shipping
120,also
121,ever
122,gene
123,dog
124,tolerance
125,however
126,resort
127,dancing
128,girls
129,lot
130,leaf
131,interest
132,network
133,special
134,cate
135,kitchen
136,may
137,hotel
138,notice
139,triathlon
140,club
141,strikeout
142,faith
143,fact
144,kings
145,institution
146,field
147,dish
148,scope
149,participation
150,eye
151,wend
152,writing
153,heartland
154,public
155,skater
156,there
157,game
158,rate
159,tomato
160,threshold
161,theory
162,hiccup
163,derivative
164,termination
165,mac
166,wall
167,tender
168,frame
169,shuffle
170,flavor
171,campaign
172,breakfast
173,bill
174,fire
175,bulk
176,swipe
177,microscope
178,imaging
179,credit
180,swag
181,contract
182,sorry
183,benefit
184,detective
185,advocacy
186,arc
187,schilling
188,park
189,pan
190,pension
191,water
192,farming
193,essay
194,breakthrough
195,sinus
196,bond
197,precursor
198,peaks
199,globe
200,project
201,explosion
202,chocolate
203,clone
204,resident
205,lake
206,collection
207,performance
208,absenteeism
209,pathway
210,manufacturer
211,watching
212,justice
213,pascal
214,school
215,sequence
216,instead
217,chief
218,pie
219,security
220,driver
221,science
222,mop
223,cylinder
224,leadership
225,essence
226,not
227,post
228,item
229,furthermore
230,vista
231,jogging
232,plating
233,short
234,drake
235,bunny
236,acute
237,etc
238,result
239,combination
240,kit
241,climax
242,test
243,sludge
244,following
245,chemistry
246,cicero
247,will
248,future
249,hard
250,cream
251,nip
252,phase
253,thousand
254,drill
255,junction
256,expression
257,alcohol
258,young
259,resolution
260,pasture
261,driving
262,variability
263,murder
264,beef
265,topic
266,bar
267,gym
268,issue
269,bulb
270,day
271,research
272,collins
273,churches
274,uniformity
275,information
276,fisherman
277,system
278,gel
279,pharmaceutical
280,column
281,incompletion
282,ocean
283,description
284,baker
285,artichoke
286,morning
287,general
288,antenna
289,value
290,film
291,the
292,reason
293,aviation
294,car
295,note
296,content
297,pool
298,agenda
299,word
300,depot
301,microwave
302,palette
303,texture
304,anthem
305,campground
306,offering
307,year
308,finger
309,man
310,family
311,search
312,buzzard
313,knickknack
314,skill
315,cooking
316,filter
317,neighborhood
318,population
319,monitoring
320,block
321,wolf
322,instance
323,power
324,graph
325,slack
326,term
327,flashlight
328,end
329,form
330,case
331,puzzle
332,use
333,inc
334,advice
335,child
336,annuity
337,generally
338,batman
339,police
340,claim
341,circuit
342,light
343,number
344,festival
345,people
346,philosopher
347,grass
348,means
349,compensation
350,blog
351,delay
352,product
353,seaside
354,restoration
355,nitrate
356,dole
357,bead
358,link
359,feeder
360,physicalism
361,email
362,offender
363,principle
364,individual
365,file
366,flight
367,conservation
368,detail
369,location
370,said
371,democratization
372,left
373,representation
374,pro
375,dolman
376,activity
377,soil
378,incl
379,payment
380,bottom
381,android
382,analysis
383,segregation
384,fraud
385,exterior
386,owner
387,turner
388,response
389,bush
390,endoscope
391,superintendent
392,blanch
393,toxoplasmosis
394,message
395,ghost
396,side
397,list
398,anybody
399,health
400,destruction
401,attention
402,judge
403,lobster
404,town
405,
406,overview
407,testing
408,friend
409,printing
410,stencil
411,karaoke
412,liver
413,resin
414,signed
415,bank
416,bacon
417,branding
418,hand
419,lactose
420,debut
421,touchdown
422,woman
423,white
424,translator
425,nothing
426,hundred
427,goal
428,tumor
429,thought
430,task
431,female
432,backing
433,entry
434,arm
435,green
436,brake
437,stress
438,relation
439,evidence
440,talent
441,hygiene
442,trade
443,purchase
444,yet
445,tour
446,risk
447,transmission
448,women
449,rest
450,sailor
451,writer
452,catering
453,frankly
454,flag
455,experience
456,author
457,size
458,injury
459,unfeminine
460,counselor
461,place
462,distribution
463,database
464,effect
465,corps
466,catfish
467,reader
468,preferred
469,stay
470,adiposity
471,metaphor
472,glyph
473,attempt
474,plan
475,antibody
476,drug
477,injection
478,nut
479,chlorofluorocarbon
480,kilometer
481,provision
482,sen
483,high
484,politician
485,love
486,organ
487,mill
488,division
489,code
490,teaching
491,dozen
492,iii
493,sugar
494,religion
495,money
496,acrylic
497,ring
498,since
499,horse
500,incidentally
501,construction
502,grad
503,disagreement
504,talk
505,trees
506,room
507,kip
508,scene
509,papyrus
510,recording
511,part
512,skiing
513,sap
514,application
515,stripes
516,ratification
517,pace
518,blob
519,dress
520,pacific
521,est
522,tattoo
523,board
524,eve
525,fat
526,digit
527,certification
528,chest
529,ethic
530,convertible
531,vent
532,mixture
533,certificate
534,savings
535,ford
536,interaction
537,bedroom
538,notebook
539,travel
540,hall
541,papers
542,plot
543,university
544,cell
545,approach
546,mortality
547,influence
548,opportunism
549,purse
550,treatment
551,bird
552,writings
553,today
554,dreams
555,cider
556,obscenity
557,navy
558,interface
559,trampoline
560,insider
561,criticism
562,embodiment
563,brand
564,person
565,mar
566,down
567,crash
568,cocaine
569,restaurant
570,banking
571,convergence
572,tabloid
573,experiment
574,union
575,set
576,ice
577,signature
578,formulation
579,season
580,management
581,discussion
582,dioxide
583, br
584,lowering
585,protection
586,scratch
587,savior
588,jet
589,pelvis
590,player
591,prophecy
592,beach
593,question
594,bootstrap
595,playwriting
596,race
597,excavation
598,prose
599,utensil
600,folk
601,stuff
602,party
603,thread
604,problem
605,bonus
606,copper
607,headphone
608,catch
609,installation
610,ton
611,utilization
612,layer
613,shaker
614,sample
615,differentiation
616,sepsis
617,attitude
618,fence
619,county
620,halogen
621,marketing
622,cause
623,conclusion
624,inductor
625,accuracy
626,oil
627,fumble
628,hunter
629,same
630,tale
631,chain
632,officer
633,present
634,yoga
635,girl
636,platform
637,hero
638,mummy
639,adjustment
640,swing
641,direction
642,former
643,stones
644,option
645,rents
646,captain
647,ram
648,turn
649,class
650,control
651,whole
652,protein
653,luck
654,opposition
655,politicians
656,worlds
657,hope
658,screenshot
659,print
660,model
661,rigging
662,photography
663,market
664,paper
665,thing
666,coach
667,reward
668,meeting
669,society
670,coating
671,duct
672,morris
673,picture
674,husband
675,moral
676,sweet
677,freezing
678,conversion
679,tactic
680,sciences
681,yeti
682,bumblebee
683,nature
684,buffer
685,regard
686,yes
687,vanity
688,punishment
689,scolding
690,victim
691,range
692,reconstruction
693,scum
694,farm
695,definition
696,lesion
697,computer
698,business
699,tetrapod
700,environment
701,systems
702,home
703,elephant
704,forum
705,mallard
706,dill
707,width
708,precipitation
709,below
710,lure
711,for
712,practice
713,way
714,linebacker
715,boy
716,cut
717,portrait
718,max
719,but
720,hat
721,exercise
722,underwriting
723,powder
724,pupil
725,tooth
726,bicycle
727,signal
728,continuity
729,done
730,track
731,finance
732,summer
733,father
734,cement
735,engine
736,disability
737,springs
738,dot
739,7th
740,valley
741,defense
742,line
743,group
744,past
745,ride
746,casualty
747,president
748,site
749,oratory
750,choice
751,voter
752,lawmaker
753,dance
754,holiday
755,knowledge
756,role
757,operation
758,fantasia
759,hurricane
760,saints
761,birthday
762,store
763,character
764,buy
765,land
766,library
767,mode
768,kidnapping
769,citizen
770,polypropylene
771,design
772,touch
773,facilitator
774,website
775,chamber
776,canyon
777,measure
778,listing
779,report
780,advisor
781,cherry
782,exchanging
783,vitamin
784,firm
785,rights
786,head
787,sept
788,multiple
789,dealership
790,contact
791,fleet
792,press
793,cogent
794,leaflet
795,creek
796,governance
797,anyone
798,key
799,downtime
800,process
801,gas
802,carrier
803,smartphone
804,commission
805,lodging
806,airport
807,marketplace
808,leak
809,patient
810,predecessor
811,corn
812,fragrance
813,communication
814,picnic
815,cards
816,bag
817,queen
818,grant
819,wound
820,diagnosis
821,array
822,chance
823,depth
824,moisture
825,body
826,tables
827,cabal
828,chlorine
829,exposure
830,explained
831,abundance
832,digging
833,drink
834,agreement
835,tier
836,potential
837,personality
838,kid
839,solution
840,court
841,element
842,recipe
843,phone
844,ragtime
845,agent
846,passage
847,violet
848,lion
849,property
850,removal
851,housing
852,center
853,technology
854,bathroom
855,partnership
856,narrative
857,verbally
858,invention
859,production
860,main
861,song
862,road
863,delirious
864,battery
865,hole
866,standard
867,soap
868,heart
869,died
870,surface
871,south
872,play
873,team
874,leader
875,housewife
876,only
877,karma
878,interpretation
879,insurance
880,japan
881,extract
882,chutney
883,mutation
884,majority
885,together
886,dam
887,creator
888,material
889,teens
890,guy
891,islands
892,outrage
893,deal
894,machine
895,ship
896,lite
897,swimming
898,show
899,hair
900,finding
901,operator
902,upon
903,enforcement
904,check
905,ticket
906,crime
907,genetics
908,version
909,grid
910,gem
911,card
912,reserve
